timestamp,scenario,result,duration_sec,leader_before,leader_after,notes
"2026-01-08T22:37:13+00:00","scenario_partition_2_1","PASS","35","3","2",""
"2026-01-08T22:37:43+00:00","scenario_partition_isolate_leader","FAIL","30","2","2","see artifacts for status/log placeholders"
